	mass A									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000000E0	3.179837E-1	-1.519996E-1	3.524450E-1						
1.668333E-2	3.186772E-1	-1.433818E-1	3.494474E-1	1.661231E-1	5.508299E-1	5.753351E-1			
3.336667E-2	3.235266E-1	-1.336203E-1	3.500341E-1	4.179683E-1	6.150389E-1	7.436198E-1	1.277564E1	3.348215E0	1.320710E1
5.005000E-2	3.326234E-1	-1.228600E-1	3.545884E-1	6.027661E-1	6.635508E-1	8.964523E-1	8.715614E0	1.690093E0	8.877970E0
6.673333E-2	3.436389E-1	-1.114798E-1	3.612692E-1	7.011793E-1	6.736716E-1	9.723609E-1	5.979162E0	-2.768623E0	6.589055E0
8.341667E-2	3.560195E-1	-1.003818E-1	3.699005E-1	7.977879E-1	5.784900E-1	9.854523E-1	3.036292E0	-1.064677E1	1.107126E1
1.001000E-1	3.702584E-1	-9.217752E-2	3.815600E-1	8.176754E-1	3.194681E-1	8.778684E-1	1.386403E0	-1.816488E1	1.821771E1
1.167833E-1	3.833026E-1	-8.972222E-2	3.936635E-1	8.203598E-1	-3.799770E-2	8.212393E-1	1.287940E0	-2.088996E1	2.092963E1
1.334667E-1	3.976311E-1	-9.344537E-2	4.084636E-1	8.745254E-1	-3.830159E-1	9.547229E-1	-7.795196E-1	-1.751653E1	1.753386E1
1.501500E-1	4.124826E-1	-1.025022E-1	4.250277E-1	8.054363E-1	-6.293322E-1	1.022148E0	-9.027387E0	-1.053892E1	1.387669E1
1.668333E-1	4.245058E-1	-1.144441E-1	4.396620E-1	5.685835E-1	-7.339415E-1	9.284166E-1	-1.690016E1	-2.381372E0	1.706711E1
1.835167E-1	4.314543E-1	-1.269914E-1	4.497551E-1	2.359755E-1	-7.079298E-1	7.462232E-1	-2.100269E1	3.940937E0	2.136923E1
2.002000E-1	4.323796E-1	-1.380653E-1	4.538878E-1	-1.348651E-1	-5.968053E-1	6.118538E-1	-1.833150E1	5.674084E0	1.918956E1
2.168833E-1	4.269543E-1	-1.469048E-1	4.515207E-1	-3.943908E-1	-5.087852E-1	6.437441E-1	-7.859697E0	5.426979E0	9.551279E0
2.335667E-1	4.192201E-1	-1.550418E-1	4.469714E-1	-3.989355E-1	-4.278350E-1	5.849721E-1	4.661058E0	8.176134E0	9.411410E0
2.502500E-1	4.136431E-1	-1.611802E-1	4.439366E-1	-2.259796E-1	-2.401261E-1	3.297383E-1	9.685226E0	1.059938E1	1.435794E1
2.669333E-1	4.116799E-1	-1.630540E-1	4.427945E-1	-6.201696E-2	-5.447276E-2	8.254323E-2	6.687266E0	7.470359E0	1.002626E1
2.836167E-1	4.115738E-1	-1.629978E-1	4.426752E-1	-2.908254E-3	6.899484E-3	7.487377E-3	-1.875890E0	2.225916E0	2.910956E0
3.003000E-1	4.115828E-1	-1.628238E-1	4.426195E-1	-1.150618E-1	1.227856E-2	1.157151E-1	-1.114153E1	-7.650411E-1	1.116776E1
3.169833E-1	4.077346E-1	-1.625881E-1	4.389560E-1	-3.859945E-1	-1.451084E-2	3.862671E-1	-1.520813E1	-5.430996E-1	1.521782E1
3.336667E-1	3.987035E-1	-1.633080E-1	4.308526E-1	-6.367421E-1	-1.789808E-2	6.369936E-1	-2.981132E0	2.185379E0	3.696353E0
3.503500E-1	3.864887E-1	-1.631853E-1	4.195270E-1	-5.207387E-1	6.191988E-2	5.244071E-1	5.742095E0	6.032318E0	8.328296E0
3.670333E-1	3.813282E-1	-1.612419E-1	4.140171E-1	-3.633876E-1	1.855027E-1	4.079973E-1	6.423880E0	7.194510E0	9.645061E0
3.837167E-1	3.743636E-1	-1.569957E-1	4.059504E-1	-3.602219E-1	3.064788E-1	4.729578E-1	7.691321E0	5.996649E0	9.752754E0
4.004000E-1	3.693088E-1	-1.510158E-1	3.989921E-1	-1.102165E-1	3.865587E-1	4.019643E-1	1.701181E1	5.057906E0	1.774780E1
4.170833E-1	3.706861E-1	-1.440975E-1	3.977087E-1	2.328384E-1	4.682097E-1	5.229092E-1	1.795948E1	4.859109E0	1.860521E1
4.337667E-1	3.770778E-1	-1.353932E-1	4.006482E-1	4.892667E-1	5.551888E-1	7.400112E-1	1.262953E1	2.954824E0	1.297058E1
4.504500E-1	3.870113E-1	-1.255727E-1	4.068737E-1	6.546408E-1	5.712034E-1	8.688083E-1	8.048416E0	1.183707E0	8.134996E0
4.671333E-1	3.989210E-1	-1.163340E-1	4.155377E-1	7.538611E-1	5.810302E-1	9.517892E-1	4.065134E0	-2.240949E0	4.641893E0
