	mass D						
t	x	y	vx	vy	ax	ay	
0.000000E0	1.813187E-1	-1.549746E-1				
1.668333E-2						
3.336667E-2						
5.005000E-2						
6.673333E-2						
8.341667E-2						
1.001000E-1						
1.167833E-1						
1.334667E-1						
1.501500E-1						
1.668333E-1						
1.835167E-1						
2.002000E-1						
2.168833E-1						
2.335667E-1						
2.502500E-1						
2.669333E-1	1.967968E-1	-1.341619E-1				
2.836167E-1	1.997835E-1	-1.310199E-1	1.685529E-1	1.831768E-1		
3.003000E-1	2.024208E-1	-1.280499E-1	1.866158E-1	1.646140E-1	7.679421E-1	-1.446853E0
3.169833E-1	2.060102E-1	-1.255273E-1	2.052407E-1	1.342299E-1	-5.609522E-2	-1.675288E0
3.336667E-1	2.092690E-1	-1.235711E-1	1.800234E-1	1.072154E-1	-5.309890E-2	-1.802664E0
3.503500E-1	2.120170E-1	-1.219499E-1	1.960365E-1	7.657957E-2	1.217312E0	-2.076150E0
3.670333E-1	2.158101E-1	-1.210159E-1	2.312244E-1	3.630256E-2	1.875986E0	-2.322471E0
3.837167E-1	2.197322E-1	-1.207386E-1	2.527408E-1	-1.067535E-3	3.470989E-1	-2.213043E0
4.004000E-1	2.242432E-1	-1.210515E-1	2.501830E-1	-3.715348E-2	-3.025547E-1	-2.360496E0
4.170833E-1	2.280800E-1	-1.219783E-1	2.338037E-1	-7.918274E-2	-8.255402E-1	-1.958771E0
4.337667E-1	2.320445E-1	-1.236936E-1	2.279948E-1	-1.061575E-1	-1.155572E0	-1.383891E0
4.504500E-1	2.356874E-1	-1.255204E-1	1.952473E-1	-1.212579E-1	-2.512548E0	-6.744077E-1
4.671333E-1	2.385592E-1	-1.277396E-1	1.430837E-1	-1.317263E-1	-3.127607E0	-8.592264E-1
4.838167E-1	2.404616E-1	-1.299157E-1	8.940760E-2	-1.456990E-1	-2.674581E0	-3.476747E-1
5.005000E-1	2.415424E-1	-1.326010E-1	5.268564E-2	-1.495080E-1	-2.016148E0	-2.087173E-1
5.171833E-1	2.422196E-1	-1.349043E-1	2.449495E-2	-1.460661E-1	-1.585715E0	-5.625334E-1
5.338667E-1	2.423598E-1	-1.374748E-1	-1.656447E-3	-1.699373E-1	-1.929812E0	-1.314374E0
5.505500E-1	2.421643E-1	-1.405745E-1	-3.687741E-2	-1.923703E-1	-2.245751E0	-1.781746E0
5.672333E-1	2.411293E-1	-1.438935E-1	-7.980362E-2	-2.252434E-1	-1.778857E0	-2.387217E0
5.839167E-1	2.395015E-1	-1.480901E-1	-9.769513E-2	-2.752171E-1	-2.046849E-1	-9.123309E-1
6.006000E-1	2.378695E-1	-1.530766E-1	-8.584281E-2	-2.637165E-1	-1.606284E-2	4.570321E0
6.172833E-1	2.366372E-1	-1.568895E-1	-9.217469E-2	-1.241956E-1	-7.637720E-1	6.277236E0
6.339667E-1	2.347940E-1	-1.572206E-1	-1.172971E-1	-2.827405E-2	2.111731E0	3.809638E0
6.506500E-1	2.327234E-1	-1.578329E-1	-3.392680E-2	-1.718262E-2	3.466665E0	7.555154E-1
6.673333E-1	2.336619E-1	-1.577939E-1	2.900607E-2	3.542097E-3	1.458940E0	7.038214E-1
