	mass A									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000000E0	3.428956E-1	-1.616136E-1	3.790730E-1						
1.668333E-2	3.439457E-1	-1.738256E-1	3.853752E-1	4.215108E-2	-3.938709E-1	3.961200E-1			
3.336667E-2	3.443020E-1	-1.747558E-1	3.861133E-1	2.034193E-2	-2.588743E-2	3.292345E-2	-1.736859E0	1.297835E1	1.309406E1
5.005000E-2	3.446245E-1	-1.746894E-1	3.863708E-1	-9.065010E-3	-2.535167E-5	9.065046E-3	-2.092416E0	1.191711E0	2.407982E0
6.673333E-2	3.439995E-1	-1.747566E-1	3.858440E-1	-5.494431E-2	6.904809E-3	5.537647E-2	-4.912998E0	1.765876E-1	4.916170E0
8.341667E-2	3.427912E-1	-1.744590E-1	3.846319E-1	-1.612473E-1	1.059610E-2	1.615951E-1	-8.806558E0	-5.016172E-1	8.820832E0
1.001000E-1	3.386193E-1	-1.744030E-1	3.808929E-1	-3.564674E-1	-1.136051E-2	3.566483E-1	-1.055083E1	-7.970578E-1	1.058089E1
1.167833E-1	3.308970E-1	-1.748381E-1	3.742475E-1	-5.224894E-1	-2.003279E-2	5.228733E-1	-1.260763E1	-1.608295E-1	1.260866E1
1.334667E-1	3.211855E-1	-1.750715E-1	3.658007E-1	-7.543669E-1	-1.303408E-2	7.544794E-1	-1.513094E1	3.140313E0	1.545338E1
1.501500E-1	3.057263E-1	-1.752730E-1	3.524049E-1	-1.050379E0	7.212865E-2	1.052853E0	5.700460E-1	1.011272E1	1.012877E1
1.668333E-1	2.861379E-1	-1.726648E-1	3.341976E-1	-7.996006E-1	3.243191E-1	8.628696E-1	1.911363E1	1.977143E1	2.749982E1
1.835167E-1	2.790463E-1	-1.644516E-1	3.238999E-1	-3.050748E-1	7.333631E-1	7.942872E-1	3.483819E1	1.783703E1	3.913897E1
2.002000E-1	2.759585E-1	-1.481949E-1	3.132329E-1	2.775262E-1	9.656169E-1	1.004707E0	4.423283E1	1.316217E0	4.425241E1
2.168833E-1	2.883064E-1	-1.322321E-1	3.171844E-1	1.217643E0	7.673873E-1	1.439284E0	3.209572E1	-1.609995E1	3.590743E1
2.335667E-1	3.165872E-1	-1.225897E-1	3.394933E-1	1.453342E0	4.008545E-1	1.507610E0	-2.827937E0	-2.390394E1	2.407064E1
2.502500E-1	3.367996E-1	-1.188570E-1	3.571568E-1	1.014174E0	-1.906366E-2	1.014353E0	-2.235346E1	-2.952901E1	3.703565E1
2.669333E-1	3.504268E-1	-1.232258E-1	3.714614E-1	7.020356E-1	-5.826731E-1	9.123387E-1	-2.236148E1	-3.133316E1	3.849419E1
2.836167E-1	3.602242E-1	-1.382988E-1	3.858601E-1	3.039216E-1	-1.094262E0	1.135684E0	-2.889588E1	-1.042643E1	3.071941E1
3.003000E-1	3.605677E-1	-1.597377E-1	3.943668E-1	-2.832704E-1	-9.824750E-1	1.022497E0	-1.950379E1	1.742294E1	2.615257E1
3.169833E-1	3.507724E-1	-1.710807E-1	3.902690E-1	-4.174371E-1	-4.342977E-1	6.023855E-1	2.106647E0	2.646493E1	2.654865E1
3.336667E-1	3.466392E-1	-1.742288E-1	3.879619E-1	-1.369191E-1	-8.700783E-2	1.622258E-1	6.500971E0	1.370511E1	1.516881E1
3.503500E-1	3.462039E-1	-1.739839E-1	3.874629E-1	-1.722228E-1	1.667802E-2	1.730285E-1	-1.325654E1	2.190691E0	1.343633E1
3.670333E-1	3.408927E-1	-1.736723E-1	3.825832E-1	-5.970196E-1	-2.204950E-2	5.974266E-1	-2.363636E1	-2.794447E-2	2.363638E1
3.837167E-1	3.262833E-1	-1.747196E-1	3.701186E-1	-1.001640E0	-4.500890E-3	1.001650E0	-6.939232E0	7.831270E0	1.046335E1
4.004000E-1	3.074713E-1	-1.738225E-1	3.532037E-1	-8.625928E-1	2.357283E-1	8.942226E-1	2.065765E1	1.590427E1	2.607076E1
4.170833E-1	2.975015E-1	-1.668541E-1	3.410974E-1	-2.660223E-1	5.508147E-1	6.116900E-1	3.739496E1	1.412948E1	3.997531E1
